"edge","parent","child","depth_start","depth_end","interval_length","value","color_bin","rate_for_flagging","rate_flag","rate_flag_source","is_near_zero","is_high_outlier","rate_category","mean","median","sd","q025","q975","highest_density_interval_low","highest_density_interval_high","n","ci_width","highest_density_interval_width","cv","clade_key","descendant_tips","descendant_examples"
13,116,119,38.078728,40.289807,2.211079,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Orlovichthys_limnatis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi",9,"Griphognathus sculpta; Griphognathus whitei; ..."
14,119,120,40.289807,43.020472,2.730665,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Griphognathus_sculpta | Griphognathus_whitei | Holodipterus_gogoensis | Holodipterus_santacrucensis | Rhynchodipterus_elginensis | Robinsondipterus_longi",6,"Griphognathus sculpta; Griphognathus whitei; ..."
15,120,121,43.020472,46.034498,3.014026,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Griphognathus_sculpta | Griphognathus_whitei | Rhynchodipterus_elginensis | Robinsondipterus_longi",4,"Griphognathus sculpta; Griphognathus whitei; ..."
16,121,122,46.034498,48.354749,2.320251,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Griphognathus_sculpta | Griphognathus_whitei | Rhynchodipterus_elginensis",3,"Griphognathus sculpta; Griphognathus whitei; ..."
17,122,123,48.354749,51.284924,2.930175,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878714,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936913,0.178564858760202,0.00563847345641027,"Griphognathus_sculpta | Griphognathus_whitei",2,"Griphognathus sculpta; Griphognathus whitei"
18,123,25,51.284924,53.246109,1.961185,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Griphognathus_sculpta",1,"Griphognathus sculpta"
19,123,26,51.284924,53.227296,1.942372,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Griphognathus_whitei",1,"Griphognathus whitei"
20,122,27,48.354749,65.922329,17.56758,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Rhynchodipterus_elginensis",1,"Rhynchodipterus elginensis"
21,121,28,46.034498,53.164176,7.129678,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Robinsondipterus_longi",1,"Robinsondipterus longi"
23,124,29,48.828769,53.214554,4.385785,-11.405847998585,7,1.11302047281254e-05,"regular","value",FALSE,FALSE,"-12 to -11",-11.405847998585,-11.3938244094994,0.0643115711878721,-11.5069866446229,-11.340622942686,-11.5170688898768,-11.3385040311166,6,0.166363701936914,0.178564858760204,0.00563847345641033,"Holodipterus_gogoensis",1,"Holodipterus gogoensis"
