"edge","child","clade_key","value_equal","value_ic","difference","abs_difference","descendant_tips","descendant_examples"
2,89,"Achoania_jarvikii | Arquatichthys_porosus | Asperocephalus_milleri | Asperocephalus_sp | Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Cryptolepis_grossi | Diabolepis_speratus | Diplocercides_kayseri | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Durialepis_edentatus | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Glyptolepis_paucidens | Gogonasus_andrewsae | Griphognathus_sculpta | Griphognathus_whitei | Guiyu_oneiros | Gyroptychius_groenlandicus | Gyroptychius_milleri | Heimenia_ensis | Holodipterus_gogoensis | Holodipterus_santacrucensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Hyneria_lindae | Iowadipterus_halli | Jarvikina_wenjukowi | Kenichthys_campbelli | Koharalepis_jarviki | Laccognathus_embryi | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Miguashaia_grossi | Ngamugawi_wirngarri | Onychodus_jandemarrai | Orlovichthys_limnatis | Osteolepis_sp | Panderichthys_sp | Pillararhynchus_longi | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Porolepis_brevis | Powichthys_thorsteinssoni | Psarolepis_romeri | Quebecius_quebecensis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Spodichthys_buetleri | Strunius_rolandi | Styloichthys_changae | Thursius_estonicus | Tiktaalik_roseae | Tungsenia_paradoxa | Uranolophus_wyomingensis | Youngolepis_praecursor",-22.3046553697009,-25.7921716846075,-3.48751631490662,3.48751631490662,69,"Achoania jarvikii; Arquatichthys porosus; ..."
139,157,"Austelliscus_ferox | Cheirolepis_jonesi | Cheirolepis_trailli | Cuneognathus_gardineri | Gogosardina_coatesi | Howqualepis_rostridens | Kentuckia_hlavini | Limnomis_delayni | Meemannia_eos | Mimipiscis_bartrami | Mimipiscis_toombsi | Moythomasia_durgaringa | Osorioichthys_marginis | Paleoneiros_clackorum | Raynerius_splendens | Tegeolepis_clarki",-22.3046553697009,-25.7921716846075,-3.48751631490662,3.48751631490662,16,"Austelliscus ferox; Cheirolepis jonesi; ..."
1,88,"Achoania_jarvikii | Arquatichthys_porosus | Asperocephalus_milleri | Asperocephalus_sp | Austelliscus_ferox | Cathlorhynchus_trismodipterus | Cheirolepis_jonesi | Cheirolepis_trailli | Chirodipterus_australis | Chirodipterus_wildungensis | Cryptolepis_grossi | Cuneognathus_gardineri | Diabolepis_speratus | Diplocercides_kayseri | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Durialepis_edentatus | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Glyptolepis_paucidens | Gogonasus_andrewsae | Gogosardina_coatesi | Griphognathus_sculpta | Griphognathus_whitei | Guiyu_oneiros | Gyroptychius_groenlandicus | Gyroptychius_milleri | Heimenia_ensis | Holodipterus_gogoensis | Holodipterus_santacrucensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Howqualepis_rostridens | Hyneria_lindae | Iowadipterus_halli | Jarvikina_wenjukowi | Kenichthys_campbelli | Kentuckia_hlavini | Koharalepis_jarviki | Laccognathus_embryi | Latvius_grewingki | Latvius_sp | Limnomis_delayni | Litoptychus_bryanti | Medoevia_lata | Meemannia_eos | Megalichthys_mullisoni | Miguashaia_grossi | Mimipiscis_bartrami | Mimipiscis_toombsi | Moythomasia_durgaringa | Ngamugawi_wirngarri | Onychodus_jandemarrai | Orlovichthys_limnatis | Osorioichthys_marginis | Osteolepis_sp | Paleoneiros_clackorum | Panderichthys_sp | Pillararhynchus_longi | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Porolepis_brevis | Powichthys_thorsteinssoni | Psarolepis_romeri | Quebecius_quebecensis | Raynerius_splendens | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Spodichthys_buetleri | Strunius_rolandi | Styloichthys_changae | Tegeolepis_clarki | Thursius_estonicus | Tiktaalik_roseae | Tungsenia_paradoxa | Uranolophus_wyomingensis | Youngolepis_praecursor",-24.203543031826,-25.7921716846075,-1.58862865278154,1.58862865278154,85,"Achoania jarvikii; Arquatichthys porosus; ..."
170,1,"Megamastax_amblyodus",-24.203543031826,-25.7921716846075,-1.58862865278154,1.58862865278154,1,"Megamastax amblyodus"
3,92,"Arquatichthys_porosus | Asperocephalus_milleri | Asperocephalus_sp | Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Cryptolepis_grossi | Diabolepis_speratus | Diplocercides_kayseri | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Durialepis_edentatus | Eusthenopteron_foordi | Eusthenopteron_jenkinsi | Eusthenopteron_saevesoederberghi | Glyptolepis_paucidens | Gogonasus_andrewsae | Griphognathus_sculpta | Griphognathus_whitei | Gyroptychius_groenlandicus | Gyroptychius_milleri | Heimenia_ensis | Holodipterus_gogoensis | Holodipterus_santacrucensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Hyneria_lindae | Iowadipterus_halli | Jarvikina_wenjukowi | Kenichthys_campbelli | Koharalepis_jarviki | Laccognathus_embryi | Latvius_grewingki | Latvius_sp | Litoptychus_bryanti | Medoevia_lata | Megalichthys_mullisoni | Miguashaia_grossi | Ngamugawi_wirngarri | Onychodus_jandemarrai | Orlovichthys_limnatis | Osteolepis_sp | Panderichthys_sp | Pillararhynchus_longi | Platycephalichthys_bischoffi | Platycephalichthys_skuenicus | Polyplocodus_leptognathus | Porolepis_brevis | Powichthys_thorsteinssoni | Quebecius_quebecensis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Spodichthys_buetleri | Strunius_rolandi | Styloichthys_changae | Thursius_estonicus | Tiktaalik_roseae | Tungsenia_paradoxa | Uranolophus_wyomingensis | Youngolepis_praecursor",-16.6480327151284,-15.0615586389155,1.58647407621294,1.58647407621294,66,"Arquatichthys porosus; Asperocephalus milleri; ..."
134,90,"Achoania_jarvikii | Guiyu_oneiros | Psarolepis_romeri",-16.6480327151284,-15.0615586389155,1.58647407621294,1.58647407621294,3,"Achoania jarvikii; Guiyu oneiros; ..."
135,91,"Achoania_jarvikii | Psarolepis_romeri",-16.6480327151284,-15.0615586389155,1.58647407621294,1.58647407621294,2,"Achoania jarvikii; Psarolepis romeri"
136,2,"Achoania_jarvikii",-16.6480327151284,-15.0615586389155,1.58647407621294,1.58647407621294,1,"Achoania jarvikii"
137,3,"Psarolepis_romeri",-16.6480327151284,-15.0615586389155,1.58647407621294,1.58647407621294,1,"Psarolepis romeri"
138,4,"Guiyu_oneiros",-16.6480327151284,-15.0615586389155,1.58647407621294,1.58647407621294,1,"Guiyu oneiros"
51,97,"Asperocephalus_milleri | Asperocephalus_sp | Durialepis_edentatus | Glyptolepis_paucidens | Heimenia_ensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Laccognathus_embryi | Porolepis_brevis | Quebecius_quebecensis",-13.4676676013437,-12.3239884723318,1.14367912901194,1.14367912901194,11,"Asperocephalus milleri; Asperocephalus sp; ..."
72,17,"Powichthys_thorsteinssoni",-13.4676676013437,-12.3239884723318,1.14367912901194,1.14367912901194,1,"Powichthys thorsteinssoni"
141,159,"Austelliscus_ferox | Cuneognathus_gardineri | Gogosardina_coatesi | Howqualepis_rostridens | Kentuckia_hlavini | Limnomis_delayni | Mimipiscis_bartrami | Mimipiscis_toombsi | Moythomasia_durgaringa | Osorioichthys_marginis | Paleoneiros_clackorum | Raynerius_splendens | Tegeolepis_clarki",-16.9299540871652,-17.9282276275908,-0.9982735404256,0.9982735404256,13,"Austelliscus ferox; Cuneognathus gardineri; ..."
166,171,"Cheirolepis_jonesi | Cheirolepis_trailli",-16.9299540871652,-17.9282276275908,-0.9982735404256,0.9982735404256,2,"Cheirolepis jonesi; Cheirolepis trailli"
167,84,"Cheirolepis_jonesi",-16.9299540871652,-17.9282276275908,-0.9982735404256,0.9982735404256,1,"Cheirolepis jonesi"
168,85,"Cheirolepis_trailli",-16.9299540871652,-17.9282276275908,-0.9982735404256,0.9982735404256,1,"Cheirolepis trailli"
50,96,"Asperocephalus_milleri | Asperocephalus_sp | Durialepis_edentatus | Glyptolepis_paucidens | Heimenia_ensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Laccognathus_embryi | Porolepis_brevis | Powichthys_thorsteinssoni | Quebecius_quebecensis",-15.114720046085,-16.1049582838184,-0.990238237733415,0.990238237733415,12,"Asperocephalus milleri; Asperocephalus sp; ..."
73,5,"Arquatichthys_porosus",-15.114720046085,-16.1049582838184,-0.990238237733415,0.990238237733415,1,"Arquatichthys porosus"
5,94,"Arquatichthys_porosus | Asperocephalus_milleri | Asperocephalus_sp | Cathlorhynchus_trismodipterus | Chirodipterus_australis | Chirodipterus_wildungensis | Diabolepis_speratus | Dipnorhynchus_cathlesae | Dipnorhynchus_kurikae | Dipnorhynchus_sussmilchi | Dipterus_valenciennesi | Durialepis_edentatus | Glyptolepis_paucidens | Griphognathus_sculpta | Griphognathus_whitei | Heimenia_ensis | Holodipterus_gogoensis | Holodipterus_santacrucensis | Holoptychius_bergmanni | Holoptychius_giganteus | Holoptychius_jarviki | Iowadipterus_halli | Laccognathus_embryi | Orlovichthys_limnatis | Pillararhynchus_longi | Porolepis_brevis | Powichthys_thorsteinssoni | Quebecius_quebecensis | Rhinodipterus_kimberleyensis | Rhinodipterus_ulrichi | Rhynchodipterus_elginensis | Robinsondipterus_longi | Speonesydrion_iani | Uranolophus_wyomingensis | Youngolepis_praecursor",-19.7882324570944,-20.7714524645434,-0.98322000744897,0.98322000744897,35,"Arquatichthys porosus; Asperocephalus milleri; ..."
